phrase|partisanship
pension also|86.4197627967726
affair also|32.9736687562657
claim also|28.8509249526731
old soldier|-28.3623236761029
present system|-26.6731053303915
mountain slope|23.4440951401119
butter maker|-20.3850132374575
sugar trust|-20.3102266659038
reject ballot|17.3857183042328
naval establish|16.628513560601
war depart|-15.1211549179914
canal rout|14.8840467232338
census bureau|13.702200536125
govern ownership|-13.6052628593789
great trust|-12.9119488663005
silver dollar|11.1772383076224
construct canal|10.916021312371
govern yard|-10.8544805470382
elect precinct|10.4542918733838
prohibit come|9.83844246529999
sixth regiment|-9.7948105664376
come unit|9.73112949964217
question reject|9.70494333999972
antitrust act|-9.29111304759774
standard life|-8.98495251419811
suppress fraud|-8.53159996398974
murder first|-8.09055424410682
trust buster|-7.82232381810075
order kill|-7.59178467930785
tariff tax|-7.37534990782504
appoint system|-7.32233214492517
special pension|7.26430149948366
foreign vessel|7.25100024608518
elect board|6.80956975066573
year ago|6.73222618688495
point intersect|-6.59865904059444
canvass return|6.49531379690787
one trust|-6.1860765082088
gold coin|6.09499100532086
mountain region|5.99202010777518
enlighten world|-5.72544242524285
friend claim|5.60389344866347
omnibus bill|5.56079728738087
island citizen|-5.37902645414979
trade follow|-5.31797308207001
overt act|-5.30745070347771
clerk elect|5.24891825592657
partisan section|5.13146657560502
shelter protect|-4.98582238917208
car equip|-4.73441394831232
trust bill|-4.65552678428834
pension roll|4.42126206118542
system contract|-4.4034311560443
rural mail|-4.29310737919836
clerk document|4.22433848820924
eastern farmer|4.21994517391654
solicitor state|4.0820822418982
campaign fund|-3.84569244641266
shipyard unit|-3.80653013803244
better rout|3.78086220142517
output gold|3.72775572248658
disappear gun|3.7251858624499
personnel bill|3.70951789616287
color product|-3.70527980899504
dress meat|-3.66431296948354
campaign book|3.60796266540722
island bill|-3.50188737969876
regular pay|3.48620007947781
attempt commit|-3.41952995462722
present crop|-3.32994174176019
stream rise|3.28418063343955
cheap labor|-3.28076799929984
civil governor|3.24404134590396
gold standard|3.20177381751115
omit statement|3.17110048214591
state assault|3.15672503605628
construct isthmian|3.11337177345639
word alien|2.97644712215269
organ court|2.78430104855379
group island|2.50188873616156
sisterhood state|-2.46433077937432
demand second|2.45669815443186
birth death|2.42615409006968
member side|-2.41959742714882
public regard|-2.33925831552062
court bar|2.31727121000538
one ship|2.30124113055959
bill antitrust|-2.28221569907544
along stream|2.27918225254948
furnish full|-2.27492088120032
regard trust|-2.27477332096959
contest proceed|2.2330218876013
trust exist|-2.22110278111941
find pair|-2.20171977190696
give men|-2.20146097268238
rout connect|2.18752086255347
entertain differ|2.18437857228193
island never|-2.14954539834676
trust benefit|-2.13428991053564
put bad|2.10713380274808
appoint other|2.09191137594001
waterway connect|2.08064926986762
island want|-2.04519819504797
misdemeanor commit|-2.04491876809793
trial want|-2.01466221061797
instant follow|-1.96011595038753
two payment|1.94766778478254
sea pay|1.90032211060001
fix ratio|1.82177284387464
public prosecutor|-1.8100224672312
rout cost|1.80817559377467
island cost|-1.78429969180811
director census|1.75794603825003
great transact|1.75212132292118
maintain equilibrium|1.75069455218855
knot speed|-1.74221939636358
labor pauper|1.72164203690662
creek nation|1.71231693791662
cruiser one|1.6901039327704
