phrase|partisanship
war depart|61.8949129352599
high tariff|-50.5698230467607
dollar worth|-49.2054385520648
cost product|43.9599017123475
farm relief|-35.5812547138421
thousand dollar|-34.2328932723997
census taken|-32.4167488248981
protect tariff|31.943759785902
follow general|31.3889499443839
take care|30.2773786646059
bus line|-30.023569126724
chain store|-28.8794908801824
help farmer|-27.5250977529013
coast guard|26.8133645365994
farm board|-25.5367267453732
dairi product|24.2688941518355
quota permit|-23.8998601061328
cent ad|23.4810216366372
attorney general|22.8403130003349
panama canal|21.7507660159074
tariff act|21.5373356796397
ice jam|-19.2649551470225
intern settlement|18.5812900461557
cove creek|18.2660543015822
farm bill|-18.1626020459775
give farmer|-17.9490000310477
nation origin|-17.4529219951543
communist intern|16.7171010459061
war veteran|-16.6071752947761
sumatra wrapper|16.3811230328106
tariff effect|-16.0276287309033
air mail|-15.8661927612757
high protect|-15.836425989285
ship board|15.2691371295466
insert record|-15.0853304173655
benefit farmer|-15.0591409549986
pair shoe|-14.8309579226679
palm oil|14.7218872676553
boy scout|14.6482379685122
bread line|-14.5762511007454
nation prohibit|-14.1606089006056
act congress|13.8062585807628
veteran bureau|13.6817135639222
build cove|13.3467453181755
tariff tax|-13.1902066789155
road report|13.1028325273148
tax upon|-13.0709344243424
cheap labor|-12.9397948815016
quit sure|12.9028070230993
canal zone|12.7252576712039
straw hat|-12.4777153171376
soldier bonus|-12.0713038913153
cent bushel|-12.0553727222148
freight rate|-11.8235449607092
soviet govern|11.7286576264112
virgin wool|-11.2462441190457
great mani|11.036198005963
relief bill|-10.9208902268847
civil war|10.4028121867336
report tariff|10.3256195725661
bureau budget|10.1715815014216
rayon yarn|-10.1467863462778
end fiscal|10.0022197380063
mammoth cave|9.95553920487738
state veteran|9.59632038296473
thousand men|-9.5799507703998
northern western|-9.51851172754074
present rate|-9.27530562853482
scour wool|9.26530760062521
relief suffer|-9.23543843406864
general board|9.19433882895521
wage earner|-8.87581585808726
know whether|8.84907375434106
father mother|-8.76124166626375
clean content|8.75068957189164
food cloth|-8.52826508291683
origin act|-8.3442221123483
red jacket|8.23296609919779
use make|-8.18808727783985
special interest|-8.0625543615844
just soon|7.91847635419293
number prison|7.81300418563651
project act|-7.73078379676844
stock dividend|-7.34529040182367
net profit|-7.18756767321941
raw wool|-7.14999577725344
sugar trust|-6.78906884810884
demand second|6.73045794332659
mother widow|6.72100146710632
tariff upon|-6.6982346562477
farm bureau|6.65511433692774
enter unit|-6.52444732273893
equal differ|6.50617014210922
foreign agent|-6.40233357747469
merit system|-6.26487993261279
hardwood lumber|-6.20427209380249
human be|-6.12045801299962
mix claim|6.0894712341852
quit true|6.07669414699645
cent bill|6.03640453402195
unlaw possess|5.88706597208202
surplus product|-5.86524335764808
poison alcohol|-5.81678579928086
replenish fund|-5.78327033781408
spoil system|-5.75182509268796
use alcohol|5.61536411929931
govern control|-5.57557515874193
salt cake|5.54239031303093
newsprint paper|-5.5082839478167
convict labor|5.49141718675098
pay roll|5.41802947082425
red tape|-5.29635811305423
cent wool|-5.28068277465691
air corp|5.20911889530033
boulder canyon|-5.14679955177657
bureau prohibit|-5.12319954279289
take drink|-5.1140226689546
product raw|-5.06265541811358
foreign labor|5.03420787141607
word communist|4.95656288692273
upon wool|-4.95318231696067
rate upon|-4.92956951293668
raw product|-4.9253260766527
offer usual|4.88709272583905
care soldier|4.74187674089981
physician surgeon|-4.6833017452938
veteran affair|4.67539874610699
silk hat|-4.62506358323156
suit cloth|-4.61434240004831
hour labor|-4.5638641808854
intent congress|4.55313634915363
depart labor|-4.54486557832778
made statement|4.51717858488428
unemploy bill|-4.5060519590136
usual amend|4.50256435138603
automat copyright|-4.48278629324109
join union|4.47565781712989
print book|4.47484821300412
draft board|4.44634197587664
book blind|4.44526470415752
product import|-4.4384734406038
upon farm|-4.32207124488348
collect premium|4.31646965898449
paper make|4.31518324260061
cent pure|-4.28575530950316
crude petroleum|4.28421446977174
hat come|-4.27247346504786
canyon project|-4.25820591774545
embargo bill|4.23283241949941
adopt prohibit|-4.20605532238749
shoe worker|-4.19301341063057
gulf port|-4.1778365812168
spring year|-4.15581825247886
beet grower|4.05845516377175
methyl alcohol|-4.0366489836679
full settlement|4.03305682548943
cent world|-3.99486342102383
control surplus|-3.96738484706255
import wool|-3.89039612053529
senior circuit|3.81016451370897
differ product|3.76415688508813
dire distress|-3.66909465783143
equip sold|-3.6614828027037
wave length|-3.64222608018948
help dairi|-3.63902163641603
approach road|3.63736615215457
inch thick|-3.63240779498581
