phrase|partisanship
war depart|86.4818632548937
nation guard|67.6586114037549
veteran bureau|-53.7610883879158
corp area|47.992160341748
milk cream|-39.2594906930437
ship board|33.0729970803989
world court|28.9275760193971
take care|27.1511372913528
enlist men|25.6589656681548
bureau budget|24.5916113197278
high protect|-22.1343404588691
soft coal|-21.8836438578718
public health|-21.3524906547881
wave length|-21.2724896991545
mother aid|20.7838263916122
intern banker|-20.6839639199373
state depart|-19.6755605803273
high tariff|-19.3509650372142
cost product|18.7778268441298
debtor nation|-18.6515201787346
game warden|-17.131934839448
crude rubber|-17.061482719436
machin vote|15.0627472426574
great mani|14.9856844961085
civil war|14.889405184144
school section|-14.4768112109173
public shoot|-14.2841076258016
cent higher|14.2132188480518
retail druggist|-13.9770820270583
labor movement|13.880115780798
attorney general|13.750598422476
director budget|13.6681120982908
broadcast station|-13.402478930884
common school|-12.9816438083666
special interest|-12.8027219255024
light wine|-12.3670277270313
radio bill|-11.1026788228755
war tax|-11.0473352678335
bureau intern|10.9813351893678
follow general|10.4073265526372
air mail|9.8874209199923
steam plant|9.67034963091432
prohibit unit|-9.44948163649034
radio station|-9.29113777509453
mammoth cave|9.23939771366449
air corp|9.00970364994709
present tariff|-8.76056283270208
height build|-8.68182917665384
tariff tax|-8.38132071138762
allow regular|8.31299070087308
writ elect|8.13331866895766
human life|-7.90426649538275
governor general|7.88696554824741
shoot ground|-7.82777948398142
actual enrol|-7.70567207397384
attorney contest|7.64937093985754
limit armament|7.63993713232409
use alcohol|-7.62218676595816
nation home|7.62131868019884
quit sure|7.59372485584864
human be|-7.54027479736797
made statement|7.50664272015561
billion dollar|-7.48437236845706
equal fund|7.37795796337197
pay roll|7.36387544752707
tax appeal|-7.22410400795172
wild life|-7.18738761845505
cent bushel|7.17244135138151
panama canal|-6.86257273472516
cent dollar|-6.83968873314281
silver dollar|-6.73099605687198
travel allow|6.68233389386786
bring relief|-6.65873391378584
pay us|-6.62927657588365
recommend budget|6.4597243148168
alcohol content|-6.29919991468981
health commission|-6.2717505452516
construct maintain|6.22089393532848
opposit name|-6.03678782707775
director veteran|-6.0340731428163
feed ground|5.92033270961786
robber tariff|5.74972152037196
